Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
33682,   Canada,,124,B,   United States of America*,840,151065
33683,   Canada,,124,B,   United States Virgin Islands*,850,40
33684,   Canada,,124,B,   Burkina Faso,854,1070
33685,   Canada,,124,B,   Uruguay,858,3532
33686,   Canada,,124,B,   Uzbekistan,860,3666
33687,   Canada,,124,B,   Venezuela (Bolivarian Republic of),862,12227
33688,   Canada,,124,B,   Samoa,882,84
33689,   Canada,,124,B,   Yemen,887,1598
33690,   Canada,,124,B,   Zambia,894,2050
33691,   Canada,,124,B,Other,2003,2358
