Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,Region and country of last residence,Location code of origin,Total
22776,   United Kingdom*,10,826,B,   South Africa,710,122594
22777,   United Kingdom*,10,826,B,   Spain*,724,80385
22778,   United Kingdom*,10,826,B,   Sri Lanka,144,60079
22779,   United Kingdom*,10,826,B,   Sudan,729,8391
22780,   United Kingdom*,10,826,B,   Suriname,740,284
22781,   United Kingdom*,10,826,B,   Sweden,752,22718
22782,   United Kingdom*,10,826,B,   Switzerland,756,14479
22783,   United Kingdom*,10,826,B,   Syrian Arab Republic,760,4566
22784,   United Kingdom*,10,826,B,   Tajikistan,762,189
22785,   United Kingdom*,10,826,B,   Thailand,764,30047
22786,   United Kingdom*,10,826,B,   Timor-Leste,626,921
22787,   United Kingdom*,10,826,B,   Togo,768,619
22788,   United Kingdom*,10,826,B,   Tonga,776,112
22789,   United Kingdom*,10,826,B,   Trinidad and Tobago,780,18528
22790,   United Kingdom*,10,826,B,   Tunisia,788,1982
22791,   United Kingdom*,10,826,B,   Turkey,792,44458
22792,   United Kingdom*,10,826,B,   Turkmenistan,795,334
22793,   United Kingdom*,10,826,B,   Turks and Caicos Islands*,796,78
22794,   United Kingdom*,10,826,B,   Uganda,800,39569
22795,   United Kingdom*,10,826,B,   Ukraine*,804,12164
22796,   United Kingdom*,10,826,B,   United Arab Emirates,784,4894
22797,   United Kingdom*,10,826,B,   United Republic of Tanzania*,834,23083
22798,   United Kingdom*,10,826,B,   United States of America*,840,95001
22799,   United Kingdom*,10,826,B,   United States Virgin Islands*,850,97
22800,   United Kingdom*,10,826,B,   Uruguay,858,841
22801,   United Kingdom*,10,826,B,   Uzbekistan,860,1119
22802,   United Kingdom*,10,826,B,   Vanuatu,548,105
22803,   United Kingdom*,10,826,B,   Venezuela (Bolivarian Republic of),862,4781
22804,   United Kingdom*,10,826,B,   Viet Nam,704,19519
22805,   United Kingdom*,10,826,B,   Yemen,887,9135
22806,   United Kingdom*,10,826,B,   Zambia,894,18256
22807,   United Kingdom*,10,826,B,   Zimbabwe,716,96458
22808,   United Kingdom*,10,826,B,Other,2003,19358
